pattern_id,pattern,match_count,seconds
98,*/mobile/Library/Photos/Libraries/Application/com.apple.GenerativePlayground/00000000-0000-0000-0000-000000000001.photoslibrary/database/Photos.sqlite*,0,1.263428
99,*/biome/streams/restricted/_DKEvent.Safari.History/local/*,0,1.855277
100,*/lightspeed-userDatabases/*.db*,3,1.860769
101,*/wireless/Library/Databases/CellularUsage.db*,1,1.870559
102,**/Line.sqlite*,3,1.839267
103,*/Preferences/com.apple.MobileBackup.plist,1,0.497887
104,*/iTunes_Control/iTunes/iTunesPrefs,0,0.476888
105,*/mobile/Containers/Data/Application/*/Library/Preferences/com.booking.BookingApp.plist,0,1.678491
106,*/mobile/Containers/Data/Application/*/Library/Application Support/KeyValueStorageAccountDomain*,0,1.863614
107,*/mobile/Containers/Data/Application/*/Library/Application Support/AccountSettings*,0,1.784718
108,*/mobile/Containers/Data/Application/*/Library/Application Support/KeyValueStorageRecentsDomain*,0,1.791320
109,*/mobile/Containers/Data/Application/*/Library/Application Support/BookingClouds*,0,1.761572
110,*/mobile/Containers/Data/Application/*/Library/Application Support/KeyValueStorageSharedDomain*,0,1.790349
111,*/mobile/Containers/Data/Application/*/Library/Application Support/NotificationsModel.sqlite*,0,1.819404
112,*/mobile/Containers/Data/Application/*/Library/Application Support/flight_rs_v2,0,1.774993
113,*/Keychains/com.apple.security.keychain-defaultContext.TrustedPeersHelper.db*,3,1.867885
114,*/mobile/Media/PhotoData/PhotoCloudSharingData/*,39,1.948110
115,*/mobile/Containers/Shared/AppGroup/*/zangidb.sqlite*,0,1.881925
116,*/mobile/Containers/Shared/AppGroup/*/SkypeSpacesDogfood/*/Skype*.sqlite*,1,2.028001
117,*/mobile/Containers/Shared/AppGroup/*/SkypeSpacesDogfood/Downloads/*/Images/*,33,1.859053
118,*/Data/Application/*/Library/Application Support/com.ubercab.UberClient/storagev2/*,0,1.899240
119,*/Documents/user_accounts/*/dynamite.db*,3,2.012259
120,*/*.resume,0,0.560982
121,*/cacheV0.db*,2,2.029643
122,*/mobile/Containers/Data/Application/*/Library/Preferences/com.ebaykleinanzeigen.ebc.plist,0,1.790095
123,*/mobile/Containers/Data/Application/*/Library/Caches/conversation_cache,0,1.783975
124,*/mobile/Containers/Data/Application/*/Library/Private Documents/.last_search_query,0,1.746247
