Module Name,Artifact Name,Search Pattern,List File Name,Count,Search Time (s)
Ph94Ios14REFforAssetAnalysis,Ph94-1-iOS14_Ref_for_Asset_Analysis-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1428
Ph94Ios14REFforAssetAnalysis,Ph94-1-iOS14_Ref_for_Asset_Analysis-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6645
Ph94Ios14REFforAssetAnalysis,Ph94-2-iOS14_Ref_for_Asset_Analysis-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8668
Ph94Ios14REFforAssetAnalysis,Ph94-2-iOS14_Ref_for_Asset_Analysis-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1450
Ph94Ios14REFforAssetAnalysis,Ph94-2-iOS14_Ref_for_Asset_Analysis-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6525
whatsappMessages,whatsappMessages,*/var/mobile/Containers/Shared/AppGroup/*/ChatStorage.sqlite*,josh-hickman-ios15.csv,0,0.8882
whatsappMessages,whatsappMessages,*/var/mobile/Containers/Shared/AppGroup/*/Message/Media/*/*/*/*.*,josh-hickman-ios15.csv,0,0.8800
whatsappMessages,whatsappMessages,*/var/mobile/Containers/Shared/AppGroup/*/ChatStorage.sqlite*,belkasoft-ctf6-ios-dev1.csv,0,0.1423
whatsappMessages,whatsappMessages,*/var/mobile/Containers/Shared/AppGroup/*/Message/Media/*/*/*/*.*,belkasoft-ctf6-ios-dev1.csv,0,0.1378
whatsappMessages,whatsappMessages,*/var/mobile/Containers/Shared/AppGroup/*/ChatStorage.sqlite*,magnet-mvs-2023-ios.csv,0,0.6524
whatsappMessages,whatsappMessages,*/var/mobile/Containers/Shared/AppGroup/*/Message/Media/*/*/*/*.*,magnet-mvs-2023-ios.csv,0,0.6540
filesApps,filesapp,*/mobile/Library/Application Support/CloudDocs/session/db/client.db*,josh-hickman-ios15.csv,3,0.9208
filesApps,filesapp,*/mobile/Library/Application Support/CloudDocs/session/db/server.db*,josh-hickman-ios15.csv,3,0.8659
filesApps,filesapp,*/mobile/Library/Application Support/CloudDocs/session/db/client.db*,belkasoft-ctf6-ios-dev1.csv,0,0.1409
filesApps,filesapp,*/mobile/Library/Application Support/CloudDocs/session/db/server.db*,belkasoft-ctf6-ios-dev1.csv,0,0.1387
filesApps,filesapp,*/mobile/Library/Application Support/CloudDocs/session/db/client.db*,magnet-mvs-2023-ios.csv,3,0.6454
filesApps,filesapp,*/mobile/Library/Application Support/CloudDocs/session/db/server.db*,magnet-mvs-2023-ios.csv,3,0.6465
Ph99SystemVersionPlist,Ph99-System-Version-Plist,*/SystemVersion.plist,josh-hickman-ios15.csv,1,0.3096
Ph99SystemVersionPlist,Ph99-System-Version-Plist,*/SystemVersion.plist,belkasoft-ctf6-ios-dev1.csv,0,0.0491
Ph99SystemVersionPlist,Ph99-System-Version-Plist,*/SystemVersion.plist,magnet-mvs-2023-ios.csv,1,0.2275
Ph97iOS17REFforAssetAnalysis,Ph97-1-iOS17_Ref_for_Asset_Analysis-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8905
Ph97iOS17REFforAssetAnalysis,Ph97-1-iOS17_Ref_for_Asset_Analysis-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1451
Ph97iOS17REFforAssetAnalysis,Ph97-1-iOS17_Ref_for_Asset_Analysis-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6715
Ph97iOS17REFforAssetAnalysis,Ph97-2-iOS17_Ref_for_Asset_Analysis-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8855
Ph97iOS17REFforAssetAnalysis,Ph97-2-iOS17_Ref_for_Asset_Analysis-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1491
Ph97iOS17REFforAssetAnalysis,Ph97-2-iOS17_Ref_for_Asset_Analysis-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6573
callHistory,callhistory,**/CallHistory.storedata*,josh-hickman-ios15.csv,3,0.9292
callHistory,callhistory,**/call_history.db,josh-hickman-ios15.csv,0,0.2984
callHistory,callhistory,**/CallHistory.storedata*,belkasoft-ctf6-ios-dev1.csv,3,0.1453
callHistory,callhistory,**/call_history.db,belkasoft-ctf6-ios-dev1.csv,0,0.0450
callHistory,callhistory,**/CallHistory.storedata*,magnet-mvs-2023-ios.csv,3,0.6729
callHistory,callhistory,**/call_history.db,magnet-mvs-2023-ios.csv,0,0.2184
Ph84CameraSmartSharingMetadataPlist,Ph84-Camera-Smart-Sharing-Metadata-Plist,*/PhotoData/Caches/SmartSharing/camera_smart_sharing_metadata.plist,josh-hickman-ios15.csv,0,0.2967
Ph84CameraSmartSharingMetadataPlist,Ph84-Camera-Smart-Sharing-Metadata-Plist,*/PhotoData/Caches/SmartSharing/camera_smart_sharing_metadata.plist,belkasoft-ctf6-ios-dev1.csv,0,0.0475
Ph84CameraSmartSharingMetadataPlist,Ph84-Camera-Smart-Sharing-Metadata-Plist,*/PhotoData/Caches/SmartSharing/camera_smart_sharing_metadata.plist,magnet-mvs-2023-ios.csv,0,0.2181
Ph26SyndicationPLAssets,Ph26-1-Syndication ID Assets-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8816
Ph26SyndicationPLAssets,Ph26-1-Syndication ID Assets-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1410
Ph26SyndicationPLAssets,Ph26-1-Syndication ID Assets-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6546
Ph26SyndicationPLAssets,Ph26-2-Syndication PL Assets-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8773
Ph26SyndicationPLAssets,Ph26-2-Syndication PL Assets-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1416
Ph26SyndicationPLAssets,Ph26-2-Syndication PL Assets-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6496
Ph83comapplePurpleBuddyPlist,Ph83-Com-Apple-PurpleBuddy-Plist,*/Library/Preferences/com.apple.purplebuddy.plist,josh-hickman-ios15.csv,1,0.3006
Ph83comapplePurpleBuddyPlist,Ph83-Com-Apple-PurpleBuddy-Plist,*/Library/Preferences/com.apple.purplebuddy.plist,belkasoft-ctf6-ios-dev1.csv,1,0.0473
Ph83comapplePurpleBuddyPlist,Ph83-Com-Apple-PurpleBuddy-Plist,*/Library/Preferences/com.apple.purplebuddy.plist,magnet-mvs-2023-ios.csv,1,0.2193
