pattern_id,pattern,match_count,seconds
98,*/mobile/Library/Photos/Libraries/Application/com.apple.GenerativePlayground/00000000-0000-0000-0000-000000000001.photoslibrary/database/Photos.sqlite*,0,0.000894
99,*/biome/streams/restricted/_DKEvent.Safari.History/local/*,0,1.331152
100,*/lightspeed-userDatabases/*.db*,3,0.107162
101,*/wireless/Library/Databases/CellularUsage.db*,1,0.086947
102,**/Line.sqlite*,3,0.089301
103,*/Preferences/com.apple.MobileBackup.plist,1,0.059462
104,*/iTunes_Control/iTunes/iTunesPrefs,0,0.059969
105,*/mobile/Containers/Data/Application/*/Library/Preferences/com.booking.BookingApp.plist,0,0.008763
106,*/mobile/Containers/Data/Application/*/Library/Application Support/KeyValueStorageAccountDomain*,0,0.144448
107,*/mobile/Containers/Data/Application/*/Library/Application Support/AccountSettings*,0,0.133500
108,*/mobile/Containers/Data/Application/*/Library/Application Support/KeyValueStorageRecentsDomain*,0,0.151833
109,*/mobile/Containers/Data/Application/*/Library/Application Support/BookingClouds*,0,0.150412
110,*/mobile/Containers/Data/Application/*/Library/Application Support/KeyValueStorageSharedDomain*,0,0.131756
111,*/mobile/Containers/Data/Application/*/Library/Application Support/NotificationsModel.sqlite*,0,0.012482
112,*/mobile/Containers/Data/Application/*/Library/Application Support/flight_rs_v2,0,0.005386
113,*/Keychains/com.apple.security.keychain-defaultContext.TrustedPeersHelper.db*,3,0.092922
114,*/mobile/Media/PhotoData/PhotoCloudSharingData/*,39,0.001866
115,*/mobile/Containers/Shared/AppGroup/*/zangidb.sqlite*,0,0.004260
116,*/mobile/Containers/Shared/AppGroup/*/SkypeSpacesDogfood/*/Skype*.sqlite*,1,0.003392
117,*/mobile/Containers/Shared/AppGroup/*/SkypeSpacesDogfood/Downloads/*/Images/*,33,0.025693
118,*/Data/Application/*/Library/Application Support/com.ubercab.UberClient/storagev2/*,0,1.735577
119,*/Documents/user_accounts/*/dynamite.db*,3,0.100314
120,*/*.resume,0,0.412149
121,*/cacheV0.db*,2,0.085369
122,*/mobile/Containers/Data/Application/*/Library/Preferences/com.ebaykleinanzeigen.ebc.plist,0,0.007542
123,*/mobile/Containers/Data/Application/*/Library/Caches/conversation_cache,0,0.006315
124,*/mobile/Containers/Data/Application/*/Library/Private Documents/.last_search_query,0,0.008732
125,*/Library/Application Support/database.sqlite*,0,0.136520
126,**/containermanagerd.log.*,1,1.394991
127,*/mobile/Library/CoreAccessories/Analytics/acc_analytics_UserEventAgent_v3.db*,0,0.005356
128,*/com.apple.assetsd/cloudServiceEnableLog.plist,1,0.060519
129,*/Environments/Production/Accounts/*/*-internal.cashappapi.com.sqlite*,0,0.126027
130,*/Biome/sync/sync.db*,3,0.083620
131,*/mobile/Library/Preferences/com.apple.cmfsyncagent.plist,1,0.002350
132,*/Library/Preferences/com.apple.mobileslideshow.plist,1,0.063812
133,*/DuetExpertCenter/streams/location/local/*,0,1.388601
134,*/Biome/streams/public/Backlight/local/*,2,1.404868
135,**/Reminders/Container_v1/Stores/*.sqlite*,15,0.108952
136,*/otctl_status.txt,0,0.067119
137,*/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/sysdiagnose_*.tar.gz,0,0.029329
138,*/mobile/Library/Passes/passes23.sqlite*,1,0.005067
139,*/db/dhcpclient/leases/en*,1,1.419659
140,*/mobile/Library/SMS/sms*,3,0.020871
141,**/Library/Application Support/CachedRoutes/*.plist,0,0.136228
142,*/Biome/streams/restricted/_DKEvent.Wifi.Connection/local/*,0,1.359063
143,**/Safari/BrowserState.db*,3,0.090139
144,**/Safari/CloudTabs.db*,3,0.079993
145,*/mobile/MobileSoftwareUpdate/restore.log,1,0.059695
146,*/DES/Records/com.apple.TextInput.TypingDESPlugin/*.desdata,0,1.380220
147,*/mobile/Library/Preferences/com.apple.identityservices.idstatuscache.plist,0,0.002078
148,*/mobile/Library/IdentityServices/idstatuscache.plist,1,0.002344
149,*/mobile/Library/Preferences/com.apple.mobiletimer.plist,1,0.002620
150,*/NoteStore.sqlite*,3,0.098635
151,*/iclouddrive/Metadata.txt,0,0.065717
152,*/mobile/Containers/Shared/AppGroup/*/Library/Preferences/group.BeReal.plist,1,0.001834
153,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-ProfileRepository/*,1,0.153096
154,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-RelationshipsContactsManager-contact/*,1,0.141617
155,*/mobile/Containers/Data/Application/*/Library/Caches/PersonRepository/*,0,0.146410
156,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-RelationshipsFriendsListManager/*,1,0.140871
157,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-RelationshipsRequestSentListManager/*,1,0.145761
158,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-RelationshipsRequestReceivedListManager/*,1,0.150186
159,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-Production_FriendsStorage.following/*,0,0.139975
160,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-Production_FriendsStorage.followers/*,0,0.138079
161,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-BlockedUserManager/*,1,0.132586
162,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-MemoriesRepository-subject-key/*,1,0.133035
163,*/mobile/Containers/Shared/AppGroup/*/disk-bereal-Production_postFeedItems/*,0,0.021678
164,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-MemoriesRepository-pinnedMemories-key/*,0,0.228693
165,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-PersonRepository-pinnedMemories-key/*,0,0.137618
166,*/mobile/Containers/Shared/AppGroup/*/bereal-chat.sqlite*,0,0.001945
167,*/mobile/Containers/Data/Application/*/Documents/mmkv/mmkv.default,2,0.004051
168,*/mobile/Library/Logs/mobileactivationd/ucrt_oob_request.txt,0,0.001234
169,**/Safari/Bookmarks.db*,3,0.089464
170,*/Biome/streams/public/Notification/local/*,2,1.368868
171,*/Library/Caches/Snapshots/*.ktx,0,1.338480
172,*/Library/Caches/Snapshots/*.jpeg,0,1.302952
173,*/SplashBoard/Snapshots/*.ktx,636,1.321510
174,*/SplashBoard/Snapshots/*.jpeg,0,1.345685
175,*/root/Library/Application Support/WiFiNetworkStoreModel.sqlite*,0,0.108839
176,*/preferences/SystemConfiguration/com.apple.accounts.exists.plist,1,0.058893
177,*/Library/Support/Devices.sqlite3*,0,1.267683
178,*/Library/Support/configFile1,0,0.053236
179,*/Library/Support/*/DMSSCloud.sqlite*,0,0.124152
180,*/Documents/Captures/*,0,1.254586
181,*/Documents/Videos/*,0,1.293872
182,*/mobile/Library/FrontBoard/applicationState.db*,3,0.001142
183,*/mobile/Containers/Shared/AppGroup/*/AccountData/*/store/store.wiredatabase*,3,0.025313
184,*/wireless/Library/Preferences/com.apple.commcenter.plist,1,0.059412
185,*/mobile/Containers/Data/Application/*/Library/DriveIQ/segments/current/*.*,0,0.136811
186,**mobile/Containers/Data/Application/*/.com.apple.mobile_container_manager.metadata.plist,179,0.005563
187,*/Biome/streams/restricted/OSAnalytics.Hardware.Reliability/local/*,0,1.285220
188,*/mobile/Library/Caches/Backup/cloudkit_cache.db*,0,0.004816
189,*/MapsSync_0.0.1*,6,1.252599
190,*/mobile/Containers/Data/Application/*/Library/Application Support/data/*/searchsqlitedb*,1,0.147572
191,*/mobile/Containers/Data/Application/*/Library/Application Support/data/*/sqlitedb*,3,0.135048
192,*NoteStore.sqlite*,3,0.064988
193,*/biome/streams/restricted/_DKEvent.App.LocationActivity/local/*,0,1.291868
194,*/mobile/Library/Caches/com.apple.appstored/storeUser.db*,3,0.002325
195,*/mobile/Containers/Shared/AppGroup/*/Phoenix.sqlite*,3,0.002988
196,*PrivateFeed,0,0.255596
197,*PublicFeed,0,0.248914
198,*FriendsFeed,0,0.241962
199,*/mobile/Containers/Shared/AppGroup/*/com.thetileapp.tile-TileNetworkDB.sqlite*,0,0.003125
200,**/com.apple.MobileBluetooth.ledevices.paired.db,1,0.056200
201,*/telegram-data/account-*/postbox/db/db_sqlite*,4,1.258341
202,*/telegram-data/account-*/postbox/media/**,2002,1.465179
203,*/Shared/AppGroup/*/Library/teleguard_database.db*,0,0.139722
204,*/.com.apple.mobile_container_manager.metadata.plist,1056,0.069992
205,*/mobile/Containers/Data/PluginKitPlugin/*/Documents/AMDSQLite.db.0*,0,1.270552
206,*/Application Support/DataStore*,3,1.256051
207,*/Application Support/ClipsCache/*.png,3,1.336990
208,*/biome/streams/restricted/App.InFocus/local/*,0,1.319218
209,**/com.viber/settings/Settings.data*,6,1.267378
210,**/com.viber/database/Contacts.data*,3,1.281332
211,**/Containers/Data/Application/*/Documents/Attachments/*.*,2,0.149157
212,**/com.viber/ViberIcons/*.*,5,1.285764
213,*/fsCachedData/**,2138,1.250561
214,**/interactionC.db*,3,0.087186
215,**/com.apple.wifid.plist,1,0.055892
216,*/mobile/Containers/Data/Application/*/Library/Caches/foursquare.sqlite*,0,0.017108
217,*/shutdown.log,1,0.064384
218,*wireless/Library/Preferences/com.apple.commcenter.plist,1,0.059749
219,*/mobile/Library/UserNotifications*,273,0.024846
220,*/installd/Library/MobileInstallation/LastBuildInfo.plist,1,0.056274
221,*/logs/SystemVersion/SystemVersion.plist,0,0.065026
222,*/var/mobile/Containers/Data/Application/*/Library/Application Support/Twint.sqlite*,0,0.014917
